,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Open Source Trip Gen Data - A Service of Spack Consulting",,,,,,,,,,,,,,,,,,,
,08:15:00,11,7,73,45,28,,08:15:00,10,3,54,32,22,,08:15:00,2,0,13,9,4,,08:15:00,0,0,0,0,0
,08:30:00,14,5,70,44,26,,08:30:00,10,8,58,33,25,,08:30:00,2,0,15,9,6,,08:30:00,0,0,0,0,0
,08:45:00,12,5,68,38,30,,08:45:00,8,4,53,28,25,,08:45:00,3,1,16,8,8,,08:45:00,0,0,0,0,0
,09:00:00,8,11,66,32,34,,09:00:00,4,7,63,37,26,,09:00:00,2,3,15,8,7,,09:00:00,0,0,1,1,0
,09:15:00,10,5,62,35,27,,09:15:00,11,6,64,37,27,,09:15:00,2,2,17,8,9,,09:15:00,0,0,1,1,0
,09:30:00,8,9,59,31,28,,09:30:00,5,8,63,35,28,,09:30:00,1,2,24,14,10,,09:30:00,0,0,2,1,1
,09:45:00,6,9,57,31,26,,09:45:00,17,5,64,38,26,,09:45:00,3,0,29,16,13,,09:45:00,1,0,3,1,2
,10:00:00,11,4,55,35,20,,10:00:00,4,8,58,28,30,,10:00:00,2,5,34,19,15,,10:00:00,0,0,2,0,2
,10:15:00,6,6,53,29,24,,10:15:00,9,7,70,35,35,,10:15:00,8,3,32,20,12,,10:15:00,0,1,2,0,2
,10:30:00,8,7,57,35,22,,10:30:00,8,6,67,33,34,,10:30:00,3,5,29,15,14,,10:30:00,0,1,1,0,1
,10:45:00,10,3,61,36,25,,10:45:00,7,9,67,31,36,,10:45:00,6,2,27,17,10,,10:45:00,0,0,0,0,0
,11:00:00,5,8,72,33,39,,11:00:00,11,13,66,29,37,,11:00:00,3,2,26,16,10,,11:00:00,0,0,0,0,0
,11:15:00,12,4,78,35,43,,11:15:00,7,6,54,22,32,,11:15:00,3,5,30,15,15,,11:15:00,0,0,0,0,0
,11:30:00,9,10,74,28,46,,11:30:00,6,8,53,17,36,,11:30:00,5,1,26,13,13,,11:30:00,0,0,1,1,0
,11:45:00,7,17,63,23,40,,11:45:00,5,10,53,14,39,,11:45:00,5,2,25,11,14,,11:45:00,0,0,2,1,1
,12:00:00,7,12,52,23,29,,12:00:00,4,8,50,14,36,,12:00:00,2,7,24,8,16,,12:00:00,0,0,2,1,1
,12:15:00,5,7,51,23,28,,12:15:00,2,10,55,20,35,,12:15:00,1,3,29,6,23,,12:15:00,1,0,2,1,1
,12:30:00,4,4,54,27,27,,12:30:00,3,11,54,23,31,,12:30:00,3,2,25,5,20,,12:30:00,0,1,1,0,1
,12:45:00,7,6,66,35,31,,12:45:00,5,7,50,26,24,,12:45:00,2,4,20,2,18,,12:45:00,0,0,0,0,0
,13:00:00,7,11,73,41,32,,13:00:00,10,7,50,27,23,,13:00:00,0,14,14,0,14,,13:00:00,0,0,0,0,0
,13:15:00,9,6,75,44,31,,13:15:00,5,6,43,20,23,,13:15:00,0,0,0,0,0,,13:15:00,0,0,0,0,0
,13:30:00,12,8,78,46,32,,13:30:00,6,4,39,18,21,,13:30:00,0,0,0,0,0,,13:30:00,0,0,0,0,0
,13:45:00,13,7,83,49,34,,13:45:00,6,6,38,17,21,,13:45:00,0,0,0,0,0,,13:45:00,0,0,0,0,0
,14:00:00,10,10,85,48,37,,14:00:00,3,7,34,14,20,,14:00:00,0,0,0,0,0,,14:00:00,0,0,2,1,1
,14:15:00,11,7,89,51,38,,14:15:00,3,4,30,15,15,,14:15:00,0,0,0,0,0,,14:15:00,0,0,2,1,1
,14:30:00,15,10,93,49,44,,14:30:00,5,4,32,16,16,,14:30:00,0,0,0,0,0,,14:30:00,0,0,2,1,1
,14:45:00,12,10,93,49,44,,14:45:00,3,5,33,16,17,,14:45:00,0,0,0,0,0,,14:45:00,1,1,2,1,1
,15:00:00,13,11,100,51,49,,15:00:00,4,2,37,17,20,,15:00:00,0,0,0,0,0,,15:00:00,0,0,0,0,0
,15:15:00,9,13,95,46,49,,15:15:00,4,5,40,17,23,,15:15:00,0,0,0,0,0,,15:15:00,0,0,0,0,0
,15:30:00,15,10,100,48,52,,15:30:00,5,5,40,15,25,,15:30:00,0,0,0,0,0,,15:30:00,0,0,0,0,0
,15:45:00,14,15,96,42,54,,15:45:00,4,8,36,14,22,,15:45:00,0,0,0,0,0,,15:45:00,0,0,0,0,0
,16:00:00,8,11,98,35,63,,16:00:00,4,5,32,12,20,,16:00:00,0,0,0,0,0,,16:00:00,0,0,0,0,0
,16:15:00,11,16,113,38,75,,16:15:00,2,7,35,12,23,,16:15:00,0,0,0,0,0,,16:15:00,0,0,0,0,0
,16:30:00,9,12,98,29,69,,16:30:00,4,2,31,12,19,,16:30:00,0,0,0,0,0,,16:30:00,0,0,0,0,0
,16:45:00,7,24,92,23,69,,16:45:00,2,6,28,8,20,,16:45:00,0,0,0,0,0,,16:45:00,0,0,0,0,0
,17:00:00,11,23,75,24,51,,17:00:00,4,8,23,6,17,,17:00:00,0,0,0,0,0,,17:00:00,0,0,0,0,0
,17:15:00,2,10,55,17,38,,17:15:00,2,3,17,2,15,,17:15:00,0,0,0,0,0,,17:15:00,0,0,0,0,0
,17:30:00,3,12,50,17,33,,17:30:00,0,3,13,0,13,,17:30:00,0,0,0,0,0,,17:30:00,0,0,0,0,0
,17:45:00,8,6,37,14,23,,17:45:00,0,3,15,3,12,,17:45:00,0,0,0,0,0,,17:45:00,0,0,0,0,0
,18:00:00,4,10,26,6,20,,18:00:00,0,6,13,4,9,,18:00:00,0,0,0,0,0,,18:00:00,0,0,0,0,0
,18:15:00,2,5,21,2,19,,18:15:00,0,1,10,5,5,,18:15:00,0,0,0,0,0,,18:15:00,0,0,0,0,0
,18:30:00,0,2,18,0,18,,18:30:00,3,2,9,5,4,,18:30:00,0,0,0,0,0,,18:30:00,0,0,0,0,0
,18:45:00,0,3,17,0,17,,18:45:00,1,0,5,2,3,,18:45:00,0,0,0,0,0,,18:45:00,0,0,0,0,0
,19:00:00,0,9,14,0,14,,19:00:00,1,2,4,1,3,,19:00:00,0,0,0,0,0,,19:00:00,0,0,0,0,0
,19:15:00,0,4,6,1,5,,19:15:00,0,0,2,1,1,,19:15:00,0,0,0,0,0,,19:15:00,0,0,0,0,0
,19:30:00,0,1,4,1,3,,19:30:00,0,1,4,1,3,,19:30:00,0,0,0,0,0,,19:30:00,0,0,0,0,0
,19:45:00,0,0,3,1,2,,19:45:00,0,0,3,1,2,,19:45:00,0,0,0,0,0,,19:45:00,0,0,0,0,0
,20:00:00,1,0,3,1,2,,20:00:00,1,0,3,1,2,,20:00:00,0,0,0,0,0,,20:00:00,0,0,0,0,0
,20:15:00,0,2,2,0,2,,20:15:00,0,2,2,0,2,,20:15:00,0,0,0,0,0,,20:15:00,0,0,0,0,0
,20:30:00,0,0,0,0,0,,20:30:00,0,0,0,0,0,,20:30:00,0,0,0,0,0,,20:30:00,0,0,0,0,0
,20:45:00,0,0,0,0,0,,20:45:00,0,0,0,0,0,,20:45:00,0,0,0,0,0,,20:45:00,0,0,0,0,0
,21:00:00,0,0,0,0,0,,21:00:00,0,0,0,0,0,,21:00:00,0,0,0,0,0,,21:00:00,0,0,0,0,0
,21:15:00,0,0,0,0,0,,21:15:00,0,0,0,0,0,,21:15:00,0,0,0,0,0,,21:15:00,0,0,0,0,0
,21:30:00,0,0,0,0,0,,21:30:00,0,0,0,0,0,,21:30:00,0,0,0,0,0,,21:30:00,0,0,0,0,0
,21:45:00,0,0,0,0,0,,21:45:00,0,0,0,0,0,,21:45:00,0,0,0,0,0,,21:45:00,0,0,0,0,0
,22:00:00,0,0,0,0,0,,22:00:00,0,0,0,0,0,,22:00:00,0,0,0,0,0,,22:00:00,0,0,0,0,0
,22:15:00,0,0,0,0,0,,22:15:00,0,0,0,0,0,,22:15:00,0,0,0,0,0,,22:15:00,0,0,0,0,0
,22:30:00,0,0,0,0,0,,22:30:00,0,0,0,0,0,,22:30:00,0,0,0,0,0,,22:30:00,0,0,0,0,0
,22:45:00,0,0,0,0,0,,22:45:00,0,0,0,0,0,,22:45:00,0,0,0,0,0,,22:45:00,0,0,0,0,0
,23:00:00,0,0,0,0,0,,23:00:00,0,0,0,0,0,,23:00:00,0,0,0,0,0,,23:00:00,0,0,0,0,0
,23:15:00,0,0,0,0,0,,23:15:00,0,0,0,0,0,,23:15:00,0,0,0,0,0,,23:15:00,0,0,0,0,0
,23:30:00,0,0,0,0,0,,23:30:00,0,0,0,0,0,,23:30:00,0,0,0,0,0,,23:30:00,0,0,0,0,0
,23:45:00,0,0,0,0,0,,23:45:00,0,0,0,0,0,,23:45:00,0,0,0,0,0,,23:45:00,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trips,,,,Rate,,,Trips,,,,Rate,,,Trips,,,,Rate,,,Trips,,,,Rate,
,,Total,"Enter %","Exit %","Trips per Unit",,,,Total,"Enter %","Exit %","Trips per Unit",,,,Total,"Enter %","Exit %","Trips per Unit",,,,Total,"Enter %","Exit %","Trips per Unit",
,Daily,849,0.50058892815077,0.49941107184923,33.2224613578556,,,Daily,555,0.5009009009009,0.4990990990991,21.7178634318137,,,Daily,134,0.5,0.5,5.24359225200548,,,Daily,10,0.5,0.5,0.39131285462727,
,"AM Generator",78,0.44871794871795,0.55128205128205,3.05224026609274,,,"AM Generator",70,0.5,0.5,2.73918998239092,,,"AM Generator",34,0.55882352941176,0.44117647058824,1.33046370573273,,,"AM Generator",3,0.66666666666667,0.33333333333333,0.11739385638818,
,"AM Adjacent Street (7-9am)",66,0.63636363636364,0.36363636363636,2.58266484054001,,,"AM Adjacent Street (7-9am)",59,0.6271186440678,0.3728813559322,2.30874584230092,,,"AM Adjacent Street (7-9am)",12,0.83333333333333,0.16666666666667,0.46957542555273,,,"AM Adjacent Street (7-9am)",0,0,0,0,
,"PM Generator",113,0.33628318584071,0.66371681415929,4.4218352572882,,,"PM Generator",55,0.36363636363636,0.63636363636364,2.15222070045001,,,"PM Generator",29,0.20689655172414,0.79310344827586,1.1348072784191,,,"PM Generator",2,0.5,0.5,0.07826257092545,
,"PM Adjacent Street (4-6pm)",113,0.33628318584071,0.66371681415929,4.4218352572882,,,"PM Adjacent Street (4-6pm)",35,0.34285714285714,0.65714285714286,1.36959499119546,,,"PM Adjacent Street (4-6pm)",0,0,0,0,,,"PM Adjacent Street (4-6pm)",0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Weekday Average",,,,,,,,,,,,,,,,,,,,,,,,,,
,Trips,,,Rate,,,,,,,,,,,,,,,,,,,,,,,
,,"Enter %","Exit %","Trips per Unit",,,,,,,,,,,,,,,,,,,,,,,
,Daily,0.50058892815077,0.49941107184923,33.2224613578556,,,,,,,,,,,,,,,,,,,,,,,
,"AM Generator",0.44871794871795,0.55128205128205,3.05224026609274,,,,,,,,,,,,,,,,,,,,,,,
,"AM Adjacent Street (7-9am)",0.63636363636364,0.36363636363636,2.58266484054001,,,,,,,,,,,,,,,,,,,,,,,
,"PM Generator",0.33628318584071,0.66371681415929,4.4218352572882,,,,,,,,,,,,,,,,,,,,,,,
,"PM Adjacent Street (4-6pm)",0.33628318584071,0.66371681415929,4.4218352572882,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"This work is licensed under the Creative Commons Attribution-ShareAlike 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by-sa/4.0/.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
