,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Open Source Trip Gen Data - A Service of Spack Consulting",,,,,,,,,,,,,,,,,,,
,08:15:00,18,0,51,51,0,,08:15:00,16,1,44,42,2,,08:15:00,14,3,53,42,11,,08:15:00,18,2,66,59,7
,08:30:00,19,0,47,43,4,,08:30:00,10,1,32,30,2,,08:30:00,15,2,43,34,9,,08:30:00,11,1,58,50,8
,08:45:00,8,0,31,25,6,,08:45:00,10,0,26,24,2,,08:45:00,9,1,35,24,11,,08:45:00,16,2,60,51,9
,09:00:00,6,0,25,18,7,,09:00:00,6,0,24,19,5,,09:00:00,4,5,27,17,10,,09:00:00,14,2,54,42,12
,09:15:00,10,4,26,15,11,,09:15:00,4,1,27,19,8,,09:15:00,6,1,24,17,7,,09:15:00,9,3,43,32,11
,09:30:00,1,2,15,7,8,,09:30:00,4,1,25,18,7,,09:30:00,5,4,19,11,8,,09:30:00,12,2,35,25,10
,09:45:00,1,1,15,8,7,,09:45:00,5,3,32,21,11,,09:45:00,2,0,20,11,9,,09:45:00,7,5,28,17,11
,10:00:00,3,4,17,10,7,,10:00:00,6,3,27,17,10,,10:00:00,4,2,24,13,11,,10:00:00,4,1,18,11,7
,10:15:00,2,1,14,8,6,,10:15:00,3,0,23,12,11,,10:15:00,0,2,24,11,13,,10:15:00,2,2,23,12,11
,10:30:00,2,1,24,9,15,,10:30:00,7,5,28,13,15,,10:30:00,5,5,31,13,18,,10:30:00,4,3,27,11,16
,10:45:00,3,1,35,12,23,,10:45:00,1,2,31,10,21,,10:45:00,4,2,38,14,24,,10:45:00,1,1,34,9,25
,11:00:00,1,3,42,11,31,,11:00:00,1,4,39,12,27,,11:00:00,2,4,50,21,29,,11:00:00,5,5,50,17,33
,11:15:00,3,10,49,15,34,,11:15:00,4,4,48,17,31,,11:15:00,2,7,56,26,30,,11:15:00,1,7,49,13,36
,11:30:00,5,9,46,19,27,,11:30:00,4,11,53,21,32,,11:30:00,6,11,69,37,32,,11:30:00,2,12,60,22,38
,11:45:00,2,9,52,29,23,,11:45:00,3,8,55,26,29,,11:45:00,11,7,72,45,27,,11:45:00,9,9,59,30,29
,12:00:00,5,6,56,35,21,,12:00:00,6,8,59,30,29,,12:00:00,7,5,68,43,25,,12:00:00,1,8,56,33,23
,12:15:00,7,3,54,36,18,,12:15:00,8,5,57,29,28,,12:15:00,13,9,65,42,23,,12:15:00,10,9,59,40,19
,12:30:00,15,5,57,36,21,,12:30:00,9,8,63,28,35,,12:30:00,14,6,48,33,15,,12:30:00,10,3,47,33,14
,12:45:00,8,7,41,23,18,,12:45:00,7,8,50,19,31,,12:45:00,9,5,34,22,12,,12:45:00,12,3,41,28,13
,13:00:00,6,3,34,19,15,,13:00:00,5,7,43,15,28,,13:00:00,6,3,25,15,10,,13:00:00,8,4,32,20,12
,13:15:00,7,6,31,14,17,,13:15:00,7,12,40,13,27,,13:15:00,4,1,22,12,10,,13:15:00,3,4,27,15,12
,13:30:00,2,2,23,8,15,,13:30:00,0,4,28,10,18,,13:30:00,3,3,27,12,15,,13:30:00,5,2,32,15,17
,13:45:00,4,4,32,9,23,,13:45:00,3,5,33,13,20,,13:45:00,2,3,36,13,23,,13:45:00,4,2,38,13,25
,14:00:00,1,5,28,6,22,,14:00:00,3,6,35,12,23,,14:00:00,3,3,45,17,28,,14:00:00,3,4,46,15,31
,14:15:00,1,4,36,7,29,,14:15:00,4,3,41,12,29,,14:15:00,4,6,49,15,34,,14:15:00,3,9,54,12,42
,14:30:00,3,10,47,7,40,,14:30:00,3,6,48,13,35,,14:30:00,4,11,49,11,38,,14:30:00,3,10,55,9,46
,14:45:00,1,3,63,5,58,,14:45:00,2,8,78,13,65,,14:45:00,6,8,72,9,63,,14:45:00,6,8,79,10,69
,15:00:00,2,12,74,4,70,,15:00:00,3,12,97,12,85,,15:00:00,1,9,83,5,78,,15:00:00,0,15,87,6,81
,15:15:00,1,15,81,3,78,,15:15:00,5,9,103,12,91,,15:15:00,0,10,93,6,87,,15:15:00,0,13,99,8,91
,15:30:00,1,28,80,3,77,,15:30:00,3,36,106,8,98,,15:30:00,2,36,106,7,99,,15:30:00,4,33,107,11,96
,15:45:00,0,15,81,4,77,,15:45:00,1,28,84,6,78,,15:45:00,2,23,93,7,86,,15:45:00,2,20,90,9,81
,16:00:00,1,20,87,5,82,,16:00:00,3,18,65,6,59,,16:00:00,2,18,84,8,76,,16:00:00,2,25,82,8,74
,16:15:00,1,14,79,6,73,,16:15:00,1,16,58,5,53,,16:15:00,1,22,86,12,74,,16:15:00,3,18,70,8,62
,16:30:00,2,28,73,6,67,,16:30:00,1,16,52,8,44,,16:30:00,2,23,73,12,61,,16:30:00,2,18,62,7,55
,16:45:00,1,20,53,5,48,,16:45:00,1,9,38,7,31,,16:45:00,3,13,54,10,44,,16:45:00,1,13,49,5,44
,17:00:00,2,11,37,4,33,,17:00:00,2,12,30,6,24,,17:00:00,6,16,42,8,34,,17:00:00,2,13,41,4,37
,17:15:00,1,8,26,3,23,,17:15:00,4,7,16,4,12,,17:15:00,1,9,23,2,21,,17:15:00,2,11,29,2,27
,17:30:00,1,9,22,3,19,,17:30:00,0,3,7,1,6,,17:30:00,0,6,18,2,16,,17:30:00,0,7,17,0,17
,17:45:00,0,5,13,2,11,,17:45:00,0,2,7,2,5,,17:45:00,1,3,13,2,11,,17:45:00,0,6,10,0,10
,18:00:00,1,1,12,4,8,,18:00:00,0,0,5,2,3,,18:00:00,0,3,10,2,8,,18:00:00,0,3,6,0,6
,18:15:00,1,4,13,4,9,,18:15:00,1,1,7,3,4,,18:15:00,1,4,8,2,6,,18:15:00,0,1,4,0,4
,18:30:00,0,1,8,3,5,,18:30:00,1,2,10,4,6,,18:30:00,0,1,5,1,4,,18:30:00,0,0,4,1,3
,18:45:00,2,2,7,3,4,,18:45:00,0,0,7,3,4,,18:45:00,1,0,7,2,5,,18:45:00,0,2,4,1,3
,19:00:00,1,2,4,1,3,,19:00:00,1,1,9,4,5,,19:00:00,0,1,6,1,5,,19:00:00,0,1,3,1,2
,19:15:00,0,0,3,1,2,,19:15:00,2,3,8,3,5,,19:15:00,0,2,5,1,4,,19:15:00,1,0,2,1,1
,19:30:00,0,0,6,2,4,,19:30:00,0,0,5,3,2,,19:30:00,1,2,7,2,5,,19:30:00,0,0,1,0,1
,19:45:00,0,1,6,2,4,,19:45:00,1,1,5,3,2,,19:45:00,0,0,4,1,3,,19:45:00,0,1,1,0,1
,20:00:00,1,1,8,3,5,,20:00:00,0,1,6,2,4,,20:00:00,0,0,6,3,3,,20:00:00,0,0,0,0,0
,20:15:00,1,2,6,2,4,,20:15:00,2,0,9,4,5,,20:15:00,1,3,11,4,7,,20:15:00,0,0,0,0,0
,20:30:00,0,0,3,1,2,,20:30:00,0,0,8,2,6,,20:30:00,0,0,8,3,5,,20:30:00,0,0,1,0,1
,20:45:00,1,2,3,1,2,,20:45:00,0,3,8,2,6,,20:45:00,2,0,12,5,7,,20:45:00,0,0,2,1,1
,21:00:00,0,0,2,1,1,,21:00:00,2,2,7,3,4,,21:00:00,1,4,12,4,8,,21:00:00,0,0,3,1,2
,21:15:00,0,0,3,1,2,,21:15:00,0,1,3,1,2,,21:15:00,0,1,7,3,4,,21:15:00,0,1,4,1,3
,21:30:00,0,0,7,2,5,,21:30:00,0,0,5,1,4,,21:30:00,2,2,9,3,6,,21:30:00,1,0,5,1,4
,21:45:00,1,1,9,3,6,,21:45:00,1,1,6,1,5,,21:45:00,1,1,6,1,5,,21:45:00,0,1,5,0,5
,22:00:00,0,1,7,2,5,,22:00:00,0,0,4,0,4,,22:00:00,0,0,4,0,4,,22:00:00,0,1,4,0,4
,22:15:00,1,3,6,2,4,,22:15:00,0,3,4,0,4,,22:15:00,0,3,4,0,4,,22:15:00,0,2,3,0,3
,22:30:00,1,1,2,1,1,,22:30:00,0,1,1,0,1,,22:30:00,0,1,1,0,1,,22:30:00,0,1,1,0,1
,22:45:00,0,0,0,0,0,,22:45:00,0,0,0,0,0,,22:45:00,0,0,0,0,0,,22:45:00,0,0,0,0,0
,23:00:00,0,0,0,0,0,,23:00:00,0,0,0,0,0,,23:00:00,0,0,0,0,0,,23:00:00,0,0,0,0,0
,23:15:00,0,0,0,0,0,,23:15:00,0,0,0,0,0,,23:15:00,0,0,0,0,0,,23:15:00,0,0,0,0,0
,23:30:00,0,0,0,0,0,,23:30:00,0,0,0,0,0,,23:30:00,0,0,0,0,0,,23:30:00,0,0,0,0,0
,23:45:00,0,0,0,0,0,,23:45:00,0,0,0,0,0,,23:45:00,0,0,0,0,0,,23:45:00,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trips,,,,Rate,,,Trips,,,,Rate,,,Trips,,,,Rate,,,Trips,,,,Rate,
,,Total,"Enter %","Exit %","Trips per Unit",,,,Total,"Enter %","Exit %","Trips per Unit",,,,Total,"Enter %","Exit %","Trips per Unit",,,,Total,"Enter %","Exit %","Trips per Unit",
,Daily,632,0.49841772151899,0.50158227848101,3.80722891566265,,,Daily,650,0.5,0.5,3.91566265060241,,,Daily,689,0.49637155297533,0.50362844702467,4.15060240963855,,,Daily,683,0.49926793557833,0.50073206442167,4.1144578313253,
,"AM Generator",100,0.96,0.04,0.60240963855422,,,"AM Generator",100,0.94,0.06,0.60240963855422,,,"AM Generator",91,0.92307692307692,0.07692307692308,0.54819277108434,,,"AM Generator",84,0.91666666666667,0.08333333333333,0.50602409638554,
,"AM Adjacent Street (7-9am)",100,0.96,0.04,0.60240963855422,,,"AM Adjacent Street (7-9am)",100,0.94,0.06,0.60240963855422,,,"AM Adjacent Street (7-9am)",91,0.92307692307692,0.07692307692308,0.54819277108434,,,"AM Adjacent Street (7-9am)",84,0.91666666666667,0.08333333333333,0.50602409638554,
,"PM Generator",87,0.05747126436782,0.94252873563218,0.52409638554217,,,"PM Generator",106,0.07547169811321,0.92452830188679,0.63855421686747,,,"PM Generator",106,0.06603773584906,0.93396226415094,0.63855421686747,,,"PM Generator",107,0.10280373831776,0.89719626168224,0.64457831325301,
,"PM Adjacent Street (4-6pm)",87,0.05747126436782,0.94252873563218,0.52409638554217,,,"PM Adjacent Street (4-6pm)",65,0.09230769230769,0.90769230769231,0.39156626506024,,,"PM Adjacent Street (4-6pm)",86,0.13953488372093,0.86046511627907,0.51807228915663,,,"PM Adjacent Street (4-6pm)",82,0.09756097560976,0.90243902439024,0.49397590361446,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Weekday Average",,,,,,,,,,,,,,,,,,,,,,,,,,
,Trips,,,Rate,,,,,,,,,,,,,,,,,,,,,,,
,,"Enter %","Exit %","Trips per Unit",,,,,,,,,,,,,,,,,,,,,,,
,Daily,0.49851430251816,0.50148569748184,3.99698795180723,,,,,,,,,,,,,,,,,,,,,,,
,"AM Generator",0.9349358974359,0.0650641025641,0.56475903614458,,,,,,,,,,,,,,,,,,,,,,,
,"AM Adjacent Street (7-9am)",0.9349358974359,0.0650641025641,0.56475903614458,,,,,,,,,,,,,,,,,,,,,,,
,"PM Generator",0.07544610916196,0.92455389083804,0.61144578313253,,,,,,,,,,,,,,,,,,,,,,,
,"PM Adjacent Street (4-6pm)",0.09671870400155,0.90328129599845,0.48192771084337,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"This work is licensed under the Creative Commons Attribution-ShareAlike 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by-sa/4.0/.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
